candidate_id,candidate_family,source,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,predicted_phase_bin,intended_role,requires_fdtd,status,notes
baseline,baseline,ml_ready_dataset_v0_anchor,130,70,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,validated reference anchor; include in every pool,true,not_evaluated,existing real FDTD row reused as anchor; no new FDTD run in 09-P2
p1W_m5,v0_good_anchor,ml_ready_dataset_v0,130,65,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,existing good v0 candidate anchor for DOE comparison,true,not_evaluated,existing real FDTD row reused as anchor; no surrogate prediction; no new FDTD run in 09-P2
p2W_p10,v0_good_anchor,ml_ready_dataset_v0,130,70,85,160,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,existing good v0 candidate anchor for DOE comparison,true,not_evaluated,existing real FDTD row reused as anchor; no surrogate prediction; no new FDTD run in 09-P2
p1L_m10,v0_good_anchor,ml_ready_dataset_v0,120,70,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,existing good v0 candidate anchor for DOE comparison,true,not_evaluated,existing real FDTD row reused as anchor; no surrogate prediction; no new FDTD run in 09-P2
p1L_m5,v0_good_anchor,ml_ready_dataset_v0,125,70,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,existing good v0 candidate anchor for DOE comparison,true,not_evaluated,existing real FDTD row reused as anchor; no surrogate prediction; no new FDTD run in 09-P2
p1L_p5,v0_good_anchor,ml_ready_dataset_v0,135,70,85,150,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,existing good v0 candidate anchor for DOE comparison,true,not_evaluated,existing real FDTD row reused as anchor; no surrogate prediction; no new FDTD run in 09-P2
doe_p1w_p2w_01,p1w_p2w_combo,deterministic_mixed_doe_v0,130,60,85,140,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_02,p1w_p2w_combo,deterministic_mixed_doe_v0,130,60,85,160,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_03,p1w_p2w_combo,deterministic_mixed_doe_v0,130,65,85,155,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_04,p1w_p2w_combo,deterministic_mixed_doe_v0,130,75,85,145,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
doe_p1w_p2w_05,p1w_p2w_combo,deterministic_mixed_doe_v0,130,80,85,160,0.75,0.75,0.25,0.25,0,0,67.5,112.5,340,340,300,c-Si,Al2O3,,p1W + p2W combined width perturbation,true,not_evaluated,bounded DOE scaffold only; requires later gap validation and real FDTD; no surrogate prediction
