candidate_id,group,family,anchor_candidate_id,height_nm,period_x_nm,period_y_nm,p1_shape,p1_length_nm,p1_width_nm,p1_notch_depth_nm,p1_notch_width_nm,p1_notch_side,target_bin_deg,config_path,fdtd_status,rationale
cpk_zero_l60_lhs_h232p49_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.49,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p49_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p48_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.48,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p48_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p47_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.47,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p47_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p46_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.46,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p46_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p45_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.45,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p45_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p44_p1geom120x58_01,A,ultra_fine_height_scan,aggr_lhs_retention_dy_05,232.44,340,340,rectangle,120,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p44_p1geom120x58_01.yaml,not_run,Ultra-fine interpolation between the h232.5 early 60-bin point and the h232.4 0-bin selectivity cliff.
cpk_zero_l60_lhs_h232p4_p1geom121x58_01,C,p1_minor_compensation,aggr_lhs_retention_dy_05,232.4,340,340,rectangle,121,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom121x58_01.yaml,not_run,Length +1 nm compensation at the h232.4 0-bin cliff point.
cpk_zero_l60_lhs_h232p4_p1geom120x57_01,C,p1_minor_compensation,aggr_lhs_retention_dy_05,232.4,340,340,rectangle,120,57,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom120x57_01.yaml,not_run,Width -1 nm compensation at the h232.4 0-bin cliff point.
cpk_zero_l60_lhs_h232p4_p1geom119x58_01,C,p1_minor_compensation,aggr_lhs_retention_dy_05,232.4,340,340,rectangle,119,58,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom119x58_01.yaml,not_run,Length -1 nm compensation at the h232.4 0-bin cliff point.
cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_right4_01,B,mild_p1_notch_compensation,aggr_lhs_retention_dy_05,232.4,340,340,notched_rectangle,120,58,4,18,right,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_right4_01.yaml,not_run,Mild right-side p1 notch using existing notched_rectangle schema.
cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_right6_01,B,mild_p1_notch_compensation,aggr_lhs_retention_dy_05,232.4,340,340,notched_rectangle,120,58,6,20,right,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_right6_01.yaml,not_run,Slightly stronger but still mild p1 notch using existing notched_rectangle schema.
cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_left4_01,B,mild_p1_notch_compensation,aggr_lhs_retention_dy_05,232.4,340,340,notched_rectangle,120,58,4,18,left,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_lhs_h232p4_p1geom120x58_notch_p1_left4_01.yaml,not_run,Opposite-side mild p1 notch check using existing notched_rectangle schema.
