candidate_id,group,family,result_status,phase_deg,nearest_bin,err_to_0,err_to_30_boundary,target_conversion,opposite_spin_leakage,ratio,PD,early_pass,opens_0,source_result_csv,notes
cpk_zero_l60_h233_p1geom120x58_p2geom74x135_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom74x135_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_p2geom76x135_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom76x135_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_p2geom75x134_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom75x134_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_p2geom75x136_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom75x136_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_p2geom74x134_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom74x134_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_p2geom76x136_01,A,p2_dynamic_resonance_phase_scan,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom76x136_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom119x58_01,B,p1_minor_compensation_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom119x58_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom118x58_01,B,p1_minor_compensation_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom118x58_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x57_01,B,p1_minor_compensation_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x57_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_notch_p1_right4_01,C,mild_notch_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p1_right4_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_notch_p1_left4_01,C,mild_notch_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p1_left4_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
cpk_zero_l60_h233_p1geom120x58_notch_p2_right4_01,C,mild_notch_fixed_h233,missing_result,,,,,,,,,False,False,outputs/apcd_k6_metagrating_633nm/phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p2_right4_01/results.csv,results.csv missing; run this fixed-h233 candidate on the server before interpreting recovery status
