candidate_id,candidate_family,source_reference,design_intent,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,intended_phase_region,expected_risk,requires_geometry_validation,requires_fdtd,status,notes
nhood_p1w_dx_01,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,55,85,150,0.75,0.75,0.25,0.25,-35,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_02,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,55,85,150,0.75,0.75,0.25,0.25,-30,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_03,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,55,85,150,0.75,0.75,0.25,0.25,-25,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_04,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,60,85,150,0.75,0.75,0.25,0.25,-40,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_05,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,60,85,150,0.75,0.75,0.25,0.25,-35,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_06,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,60,85,150,0.75,0.75,0.25,0.25,-25,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_07,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,65,85,150,0.75,0.75,0.25,0.25,-35,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_08,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,65,85,150,0.75,0.75,0.25,0.25,-30,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_09,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,70,85,150,0.75,0.75,0.25,0.25,-35,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_p1w_dx_10,p1w_dx_neighborhood,doe_p1w_dx_01,low-leakage neighborhood around doe_p1w_dx_01; vary p1 width and internal_dx only,130,70,85,150,0.75,0.75,0.25,0.25,-25,0,67.5,112.5,340,340,300,c-Si,Al2O3,90_to_100_deg_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; candidate requires geometry validation before real FDTD.
nhood_lhs_leakred_01,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,115,60,75,135,0.75,0.75,0.25,0.25,-35,20,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_02,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,120,60,80,140,0.75,0.75,0.25,0.25,-35,20,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_03,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,120,65,80,140,0.75,0.75,0.25,0.25,-30,15,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_04,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,125,65,85,145,0.75,0.75,0.25,0.25,-30,10,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_05,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,125,60,85,150,0.75,0.75,0.25,0.25,-30,10,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_06,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,130,60,85,150,0.75,0.75,0.25,0.25,-30,5,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_07,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,130,65,85,155,0.75,0.75,0.25,0.25,-25,10,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_08,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,130,60,85,160,0.75,0.75,0.25,0.25,-25,15,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_09,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,125,55,80,150,0.75,0.75,0.25,0.25,-35,20,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_lhs_leakred_10,lhs_like_leakage_reduction,doe_lhs_like_01,pull aggressive lhs-like geometry toward lower-leakage anchors while retaining mixed displacement,130,55,85,160,0.75,0.75,0.25,0.25,-30,20,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_90_deg_leakage_reduction_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,No surrogate prediction; uses doe_lhs_like_01 only as phase-coverage evidence.
nhood_bridge_dx_lhs_01,bridge_dx_lhs,doe_p1w_dx_01|doe_lhs_like_01,interpolate between low-leakage p1w_dx result and large-shift lhs-like result,125,60,80,140,0.75,0.75,0.25,0.25,-35,5,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_100_deg_bridge_probe,moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; bridge row for later geometry validation and small-batch FDTD selection.
nhood_bridge_dx_lhs_02,bridge_dx_lhs,doe_p1w_dx_01|doe_lhs_like_01,interpolate between low-leakage p1w_dx result and large-shift lhs-like result,125,65,80,145,0.75,0.75,0.25,0.25,-35,15,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_100_deg_bridge_probe,moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; bridge row for later geometry validation and small-batch FDTD selection.
nhood_bridge_dx_lhs_03,bridge_dx_lhs,doe_p1w_dx_01|doe_lhs_like_01,interpolate between low-leakage p1w_dx result and large-shift lhs-like result,130,60,85,145,0.75,0.75,0.25,0.25,-40,10,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_100_deg_bridge_probe,moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; bridge row for later geometry validation and small-batch FDTD selection.
nhood_bridge_dx_lhs_04,bridge_dx_lhs,doe_p1w_dx_01|doe_lhs_like_01,interpolate between low-leakage p1w_dx result and large-shift lhs-like result,120,65,85,150,0.75,0.75,0.25,0.25,-25,20,67.5,112.5,340,340,300,c-Si,Al2O3,60_to_100_deg_bridge_probe,moderate_leakage_risk,true,true,not_evaluated,No surrogate prediction; bridge row for later geometry validation and small-batch FDTD selection.
