supercell_index,target_bin_deg,candidate_id,pillar_name,global_pillar_index,x_nm,y_nm,local_x_nm,local_y_nm,length_nm,width_nm,height_nm,rotation_deg,shape,material,substrate,source_config_path,dimer_center_x_nm,dimer_pitch_nm,supercell_period_nm
0,0,cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01,nanopillar_1,0,268.81034934699346,101.0,65.0,101.0,120.0,58.0,232.0,67.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01.yaml,203.81034934699343,407.62069869398687,2445.724192163921
0,0,cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01,nanopillar_2,1,138.81034934699343,-101.0,-65.0,-101.0,76.0,137.0,232.0,112.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01.yaml,203.81034934699343,407.62069869398687,2445.724192163921
1,60,aggr_lhs_retention_dy_05,nanopillar_1,2,676.4310480409803,101.0,65.0,101.0,115.0,55.0,300.0,67.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/aggr_lhs_retention_dy_05.yaml,611.4310480409803,407.62069869398687,2445.724192163921
1,60,aggr_lhs_retention_dy_05,nanopillar_2,3,546.4310480409803,-101.0,-65.0,-101.0,75.0,135.0,300.0,112.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/aggr_lhs_retention_dy_05.yaml,611.4310480409803,407.62069869398687,2445.724192163921
2,120,cpk_rot_release_02,nanopillar_1,4,1104.0517467349673,85.0,85.0,85.0,130.0,70.0,300.0,60.0,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_rot_release_02.yaml,1019.0517467349672,407.62069869398687,2445.724192163921
2,120,cpk_rot_release_02,nanopillar_2,5,934.0517467349672,-85.0,-85.0,-85.0,85.0,150.0,300.0,105.0,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_rot_release_02.yaml,1019.0517467349672,407.62069869398687,2445.724192163921
2,120,cpk_rot_release_02,nanopillar_helper,6,934.0517467349672,85.0,-85.0,85.0,80.0,110.0,300.0,135.0,weak rectangular nanofin helper,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_rot_release_02.yaml,1019.0517467349672,407.62069869398687,2445.724192163921
3,-180,cpk_resphase_scale104_nohelper_01,nanopillar_1,7,1511.672445428954,85.0,85.0,85.0,135.2,72.8,340.0,67.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_resphase_scale104_nohelper_01.yaml,1426.672445428954,407.62069869398687,2445.724192163921
3,-180,cpk_resphase_scale104_nohelper_01,nanopillar_2,8,1341.672445428954,-85.0,-85.0,-85.0,88.4,156.0,340.0,112.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_resphase_scale104_nohelper_01.yaml,1426.672445428954,407.62069869398687,2445.724192163921
4,-120,cpk_060_anchor_wh03_h425_scale98_01,nanopillar_1,9,1919.293144122941,85.0,85.0,85.0,127.4,68.6,425.0,67.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_anchor_wh03_h425_scale98_01.yaml,1834.293144122941,407.62069869398687,2445.724192163921
4,-120,cpk_060_anchor_wh03_h425_scale98_01,nanopillar_2,10,1749.293144122941,-85.0,-85.0,-85.0,83.3,147.0,425.0,112.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_anchor_wh03_h425_scale98_01.yaml,1834.293144122941,407.62069869398687,2445.724192163921
4,-120,cpk_060_anchor_wh03_h425_scale98_01,nanopillar_helper,11,1749.293144122941,85.0,-85.0,85.0,65.0,110.0,425.0,120.0,weak rectangular nanofin helper,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_anchor_wh03_h425_scale98_01.yaml,1834.293144122941,407.62069869398687,2445.724192163921
5,-60,cpk_060_boundary_h435_aniso_reduce10_01,nanopillar_1,12,2326.9138428169276,85.0,85.0,85.0,120.0,80.0,435.0,67.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_boundary_h435_aniso_reduce10_01.yaml,2241.9138428169276,407.62069869398687,2445.724192163921
5,-60,cpk_060_boundary_h435_aniso_reduce10_01,nanopillar_2,13,2156.9138428169276,-85.0,-85.0,-85.0,95.0,140.0,435.0,112.5,rectangle,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_boundary_h435_aniso_reduce10_01.yaml,2241.9138428169276,407.62069869398687,2445.724192163921
5,-60,cpk_060_boundary_h435_aniso_reduce10_01,nanopillar_helper,14,2156.9138428169276,85.0,-85.0,85.0,70.0,120.0,435.0,135.0,weak rectangular nanofin helper,c-Si,Al2O3,configs/apcd_k6_phase_state_candidates/cpk_060_boundary_h435_aniso_reduce10_01.yaml,2241.9138428169276,407.62069869398687,2445.724192163921
