candidate_id,candidate_family,source_reference,design_intent,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,intended_phase_region,expected_risk,requires_geometry_validation,requires_fdtd,status,notes
gap_lhs_leakred_01,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,120,56,80,140,0.75,0.75,0.25,0.25,-36,10,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_02,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,120,58,80,145,0.75,0.75,0.25,0.25,-36,10,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_03,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,125,56,80,140,0.75,0.75,0.25,0.25,-38,10,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_04,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,125,58,80,145,0.75,0.75,0.25,0.25,-38,15,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_05,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,125,60,85,145,0.75,0.75,0.25,0.25,-34,10,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_06,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,130,58,85,145,0.75,0.75,0.25,0.25,-36,10,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_07,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,130,60,85,140,0.75,0.75,0.25,0.25,-34,15,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_lhs_leakred_08,gap_60_90_lhs_leakage_reduced,doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,120,60,85,150,0.75,0.75,0.25,0.25,-34,20,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,moderate_to_high_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_bridge_01,gap_60_90_bridge_from_p1w_dx,fine_p1w_dx_08|doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,130,56,85,150,0.75,0.75,0.25,0.25,-36,5,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
gap_bridge_02,gap_60_90_bridge_from_p1w_dx,fine_p1w_dx_03|doe_lhs_like_01,60-90 deg leakage-controlled phase-gap scaffold; no surrogate prediction,130,57,85,150,0.75,0.75,0.25,0.25,-36,5,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,60_to_90_deg_leakage_controlled_probe,low_to_moderate_leakage_risk,true,true,not_evaluated,"Candidate pool only; no FDTD, no training, no steering result, and no predicted phase/leakage."
