candidate_id,family,target_bin_deg,anchor_candidate,helper_role,p1_length_nm,p1_width_nm,p1_rotation_deg,p1_frac_x,p1_frac_y,p2_length_nm,p2_width_nm,p2_rotation_deg,p2_frac_x,p2_frac_y,period_x_nm,period_y_nm,height_nm,internal_dx_nm,internal_dy_nm,p3_helper_length_nm,p3_helper_width_nm,p3_helper_rotation_deg,p3_helper_frac_x,p3_helper_frac_y,p3_helper_x_nm,p3_helper_y_nm,expected_phase_direction,design_rationale,risk_level,requires_fdtd,status,notes
wh2_far_detour_01,helper_v2_weak_far_detour,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,38,22,0,0.16,0.84,-115.6,115.6,toward 0 with far weak detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_02,helper_v2_weak_far_detour,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,38,22,20,0.84,0.16,115.6,-115.6,toward -60 with far weak detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_03,helper_v2_weak_far_detour,-120,ng_neg120_swap_asym_05,weak_auxiliary_phase_helper,112,68,80,0.75,0.75,102,138,150,0.25,0.25,340,340,300,44,-42,40,24,40,0.16,0.16,-115.6,-115.6,negative-bin far detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_04,helper_v2_weak_far_detour,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,40,24,60,0.84,0.84,115.6,115.6,pi-wrap far detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_05,helper_v2_weak_far_detour,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,42,24,80,0.18,0.78,-108.8,95.2,zero-bin off-diagonal detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_zero_far_06,helper_v2_weak_far_detour,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,44,24,100,0.78,0.18,95.2,-108.8,selected zero-bin far detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_07,helper_v2_weak_far_detour,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,44,24,120,0.22,0.82,-95.2,108.79999999999998,neg60 off-diagonal detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_far_detour_08,helper_v2_weak_far_detour,-180,ng_pi_wrap_lowleak_06,weak_auxiliary_phase_helper,116,70,90,0.75,0.75,100,140,160,0.25,0.25,340,340,300,48,48,46,26,140,0.82,0.22,108.79999999999998,-95.2,pi-wrap off-diagonal detour,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_01,helper_v2_medium_phase_delay,0,ng_zero_rot_release_07,weak_auxiliary_phase_helper,116,60,35,0.75,0.75,78,144,95,0.25,0.25,340,340,300,-46,42,52,30,15,0.15,0.75,-118.99999999999999,85.0,medium helper material phase for zero,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
wh2_medium_delay_02,helper_v2_medium_phase_delay,-60,ng_neg60_dxdy_release_08,weak_auxiliary_phase_helper,122,58,75,0.75,0.75,86,148,145,0.25,0.25,340,340,300,-54,-44,52,30,35,0.85,0.25,118.99999999999999,-85.0,medium helper material phase for -60,APCD core handles spin-selective conversion; standalone weak helper supplies extra target-channel phase freedom with safer detour placement.,moderate_to_high_risk,true,not_evaluated,helper v2 planning only; no YAML/FDTD/lumapi/.fsp; helper is not another APCD dimer
