K,dimer_index,pillar_index_in_dimer,global_pillar_index,x_nm,y_nm,length_nm,width_nm,height_nm,rotation_deg,frac_x,frac_y,dimer_pitch_nm,supercell_period_nm,wavelength_nm,target_angle_deg
7,0,1,0,-960.8202183501118,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,0,2,1,-1135.5148035046775,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,1,1,2,-611.4310480409803,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,1,2,3,-786.1256331955461,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,2,1,4,-262.0418777318487,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,2,2,5,-436.7364628864144,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,3,1,6,87.34729257728284,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,3,2,7,-87.34729257728296,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,4,1,8,436.73646288641453,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,4,2,9,262.0418777318488,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,5,1,10,786.1256331955464,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,5,2,11,611.4310480409805,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
7,6,1,12,1135.5148035046775,85.0,130.0,70.0,300.0,67.5,0.75,0.75,349.3891703091316,2445.724192163921,633.0,15.0
7,6,2,13,960.8202183501118,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,349.3891703091316,2445.724192163921,633.0,15.0
